CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.14431082,0.29042904,0.24087591,0.0,0.23404255,1.0,0.00012637,0.04347826,1.57575758
2,0.36263736,0.44751381,0.23255814,0.0,0.21428571,1.0,8.553e-05,0.15384615,1.65
3,0.23550725,0.3262987,0.01515152,0.0,0.25,0.95833333,4.99e-06,0.04347826,32.5
4,0.48484848,0.56804734,0.28089888,0.0,0.5,1.0,0.00012472,0.18181818,1.28
5,0.20199147,0.25266525,0.1547619,0.0,0.23684211,1.0,8.205e-05,0.08108108,2.73076923
6,0.19128788,0.225,0.3105802,0.03030303,0.21212121,1.0,0.00016529,0.0625,1.10989011
7,0.2875817,0.38255034,0.27868852,0.05555556,0.27777778,0.77777778,0.00011312,0.05882353,1.29411765
8,0.29,0.36556291,0.28979592,0.12,0.44,1.0,0.00017015,0.08333333,1.22535211
9,1.0,0.0,0.83333333,1.0,0.0,0.0,0.00029915,1.0,0.1
10,0.31372549,0.35755814,0.41818182,0.11111111,0.27777778,1.0,0.00022957,0.11764706,0.69565217
11,0.30574713,0.39123377,0.0890411,0.0,0.3,1.0,5.194e-05,0.17241379,5.11538462
12,0.2016129,0.36976744,0.18699187,0.0,0.375,0.9375,8.616e-05,0.06451613,2.17391304
13,0.66666667,0.64864865,0.62204724,0.55555556,0.33333333,1.0,0.0005254,0.5,0.30379747
14,0.18478261,0.27018634,0.29655172,0.0,0.125,0.91666667,0.00010734,0.04347826,1.18604651
15,0.31617647,0.36,0.30081301,0.05882353,0.35294118,1.0,0.00013034,0.125,1.16216216
16,0.13547237,0.18461538,0.42205323,0.35294118,0.17647059,0.91176471,0.0001957,0.03030303,0.68468468
17,0.9,0.875,0.68965517,1.0,0.0,1.0,0.00047873,0.75,0.225
18,0.28421053,0.2890625,0.56451613,0.25,0.35,1.0,0.00041926,0.10526316,0.38571429
19,0.5,0.55813953,0.52542373,0.375,0.125,0.75,0.00023192,0.28571429,0.4516129
20,0.65151515,0.68367347,0.33846154,0.0,0.66666667,1.0,0.00021951,0.27272727,0.97727273
21,0.34065934,0.36416185,0.47008547,0.21428571,0.21428571,1.0,0.00023522,0.15384615,0.56363636
22,0.15966387,0.16892596,0.35153584,0.02857143,0.2,0.85714286,0.00017642,0.05882353,0.9223301
23,0.8,0.78947368,0.77570093,1.0,0.0,1.0,0.00082785,0.6,0.14457831
24,0.31692308,0.39685476,0.26428571,0.07692308,0.34615385,1.0,0.00017053,0.16,1.39189189
25,0.66666667,0.0,0.6,0.33333333,0.0,0.0,0.00011967,0.5,0.33333333
26,0.37944664,0.38655462,0.2754717,0.08695652,0.34782609,1.0,0.00019013,0.18181818,1.31506849
27,1.0,0.0,0.94871795,1.0,0.0,0.0,0.00110686,1.0,0.02702703
28,0.46666667,0.55172414,0.46835443,0.4,0.2,1.0,0.00022148,0.22222222,0.56756757
29,0.57142857,0.61111111,0.78807947,0.75,0.125,0.75,0.00089029,0.28571429,0.13445378
30,0.23976608,0.46376812,0.10869565,0.0,0.26315789,0.84210526,3.152e-05,0.05555556,4.1
31,0.425,0.49514563,0.24444444,0.0625,0.3125,1.0,0.0001235,0.13333333,1.54545455
32,0.42380952,0.50925926,0.0,0.0,0.38095238,1.0,0.0,0.25,89.0
33,0.22807018,0.54545455,0.60606061,0.52631579,0.26315789,0.78947368,0.00037826,0.05555556,0.325
34,0.5,0.6,0.36363636,0.125,0.125,0.75,0.0001197,0.14285714,0.875
35,0.8,0.78947368,0.48387097,0.2,0.0,1.0,0.00017952,0.5,0.53333333
36,0.49090909,0.49253731,0.38636364,0.09090909,0.36363636,1.0,0.00018503,0.3,0.79411765
37,0.35897436,0.3853211,0.62666667,0.69230769,0.30769231,0.92307692,0.0004329,0.16666667,0.29787234
38,0.44117647,0.52198853,0.11764706,0.0,0.35294118,1.0,5.636e-05,0.25,3.75
39,0.44117647,0.48684211,0.0,0.0,0.47058824,1.0,0.0,0.125,60.0
40,0.49090909,0.51639344,0.61151079,0.63636364,0.27272727,0.90909091,0.00046257,0.2,0.31764706
41,0.53333333,0.75,0.76119403,1.0,0.0,0.66666667,0.00050868,0.2,0.15686275
42,0.27472527,0.52325581,0.56140351,0.57142857,0.14285714,0.92857143,0.00027371,0.07692308,0.390625
43,0.9,0.875,0.64,0.6,0.0,1.0,0.00038298,0.75,0.28125
44,0.57142857,0.56756757,0.47826087,0.28571429,0.14285714,1.0,0.00018809,0.33333333,0.54545455
45,0.6,0.54545455,0.45454545,0.2,0.0,0.8,0.00011968,0.25,0.6
46,1.0,0.0,0.66666667,0.5,0.0,0.0,0.00011966,1.0,0.25
47,0.8,0.78947368,0.30434783,0.0,0.0,1.0,8.378e-05,0.5,1.14285714
48,0.46666667,0.50116009,0.13178295,0.0625,0.5,1.0,6.362e-05,0.13333333,3.29411765
49,0.46666667,0.46666667,0.06666667,0.0,0.2,1.0,1.796e-05,0.22222222,7.0
50,0.33333333,0.0,0.78723404,1.0,0.0,0.0,0.00036904,0.2,0.13513514
51,1.0,0.0,0.92,1.0,0.0,0.0,0.00068805,1.0,0.04347826
52,0.27272727,0.26491647,0.56551724,0.31818182,0.36363636,0.90909091,0.00044654,0.14285714,0.38414634
53,0.41818182,0.43298969,0.17857143,0.0,0.27272727,1.0,5.442e-05,0.2,2.3
54,0.7,0.64285714,0.65,0.8,0.0,1.0,0.00031117,0.5,0.26923077
55,0.57142857,0.68421053,0.46666667,0.25,0.25,0.75,0.00020948,0.28571429,0.57142857
56,0.4,0.51788491,0.08433735,0.0,0.6,1.0,4.193e-05,0.15789474,5.42857143
57,0.52380952,0.46153846,0.46341463,0.14285714,0.0,0.85714286,0.00016244,0.33333333,0.57894737
58,0.85714286,0.85714286,0.53246753,0.42857143,0.42857143,1.0,0.00035054,0.66666667,0.43902439
59,0.45,0.63636364,0.01818182,0.0,0.625,1.0,7.49e-06,0.13333333,27.0
60,0.35714286,0.50746269,0.0,0.0,0.47619048,1.0,0.0,0.1,75.0
61,0.48888889,0.4787234,0.40540541,0.3,0.2,1.0,0.00017958,0.22222222,0.73333333
62,0.48571429,0.58640227,0.04672897,0.0,0.46666667,1.0,1.996e-05,0.21428571,10.2
63,0.66666667,0.6,0.2,0.0,0.0,0.75,2.992e-05,0.33333333,2.0
64,0.5,0.375,0.33333333,0.0,0.0,0.6,5.984e-05,0.25,1.0
65,0.66666667,0.6,0.68,0.75,0.0,0.75,0.00025431,0.33333333,0.23529412
66,0.5,0.375,0.66666667,0.6,0.0,0.6,0.00023936,0.25,0.25
67,1.0,1.0,0.87755102,1.0,0.0,1.0,0.00085762,1.0,0.06976744
68,1.0,0.0,0.77777778,1.0,0.0,0.0,0.00020941,1.0,0.14285714
69,0.5,0.0,0.57142857,0.5,0.0,0.0,0.00011967,0.33333333,0.375
70,0.9,0.875,0.41935484,0.0,0.0,1.0,0.00015559,0.75,0.69230769
71,0.37179487,0.41025641,0.5915493,0.61538462,0.23076923,0.92307692,0.00038685,0.16666667,0.3452381
72,0.51428571,0.60714286,0.1,0.0,0.4,1.0,4.79e-05,0.21428571,4.5
73,0.51648352,0.65594855,0.18965517,0.0,0.64285714,1.0,9.409e-05,0.23076923,2.13636364
74,0.32142857,0.35294118,0.47058824,0.125,0.0,0.5,0.0001197,0.14285714,0.5625
75,0.49450549,0.58928571,0.01098901,0.0,0.71428571,1.0,4.28e-06,0.30769231,45.0
76,0.71428571,0.73255814,0.5,0.25,0.375,1.0,0.00029926,0.42857143,0.5
77,0.24242424,0.34883721,0.52941176,0.5,0.08333333,0.58333333,0.0001796,0.09090909,0.44444444
78,0.66666667,0.6,0.55555556,0.5,0.0,0.75,0.00014959,0.33333333,0.4
79,1.0,1.0,0.5,0.33333333,0.0,1.0,0.00029922,1.0,0.5
80,0.57142857,0.5625,0.61290323,0.85714286,0.0,1.0,0.00032489,0.33333333,0.31578947
81,0.66666667,0.6,0.2,0.0,0.0,0.75,2.992e-05,0.33333333,2.0
82,0.51282051,0.58208955,0.27272727,0.0,0.38461538,1.0,0.00013816,0.25,1.33333333
83,1.0,1.0,0.33333333,0.0,0.0,1.0,8.976e-05,1.0,1.0
84,0.4952381,0.66315789,0.05454545,0.0,0.66666667,0.93333333,2.395e-05,0.07142857,8.66666667
85,0.5,0.375,0.41176471,0.4,0.0,0.6,8.378e-05,0.25,0.71428571
86,0.51515152,0.59358289,0.01449275,0.0,0.5,1.0,4.99e-06,0.27272727,34.0
87,0.5,0.69863014,0.5443038,0.66666667,0.22222222,0.77777778,0.00028597,0.125,0.41860465
88,0.52564103,0.56701031,0.2991453,0.07692308,0.38461538,1.0,0.00016119,0.25,1.17142857
89,0.48571429,0.6,0.09734513,0.0,0.53333333,1.0,4.391e-05,0.21428571,4.63636364
