CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.33333333,0.0,0.74545455,0.85714286,0.0,0.0,0.00117425,0.16666667,0.17073171
2,0.23333333,0.3,0.09259259,0.0,0.23809524,0.76190476,9.574e-05,0.05,4.9
3,0.33333333,0.0,0.7254902,0.85714286,0.0,0.0,0.00105969,0.16666667,0.18918919
4,0.62222222,0.66906475,0.70526316,1.0,0.4,1.0,0.00268806,0.44444444,0.20895522
5,0.15858586,0.37662338,0.18229167,0.02222222,0.44444444,0.97777778,0.00031425,0.02272727,2.24285714
6,0.19507576,0.36445444,0.176,0.0,0.36363636,0.93939394,0.00026871,0.0625,2.34090909
7,0.8,0.78947368,0.76,1.0,0.0,1.0,0.00253892,0.6,0.15789474
8,0.7,0.8,0.81578947,1.0,0.0,0.8,0.00248497,0.25,0.11290323
9,0.66666667,0.6,0.91666667,1.0,0.0,0.75,0.00440793,0.33333333,0.04545455
10,0.29347826,0.44412192,0.06358382,0.0,0.41666667,1.0,9.22e-05,0.17391304,7.36363636
11,0.29846154,0.4040404,0.13777778,0.0,0.46153846,1.0,0.00023995,0.12,3.12903226
12,0.31578947,0.33495146,0.19463087,0.0,0.4,1.0,0.00029146,0.10526316,2.06896552
13,0.21182266,0.39412674,0.25862069,0.03448276,0.34482759,1.0,0.00041663,0.07142857,1.43333333
14,0.37944664,0.38655462,0.2754717,0.08695652,0.34782609,1.0,0.00063836,0.18181818,1.31506849
15,0.47619048,0.48,0.83050847,1.0,0.14285714,1.0,0.00280674,0.33333333,0.10204082
16,0.39705882,0.47544643,0.2173913,0.05882353,0.29411765,1.0,0.0003545,0.125,1.8
17,0.57142857,0.61764706,0.55555556,0.57142857,0.0,0.71428571,0.0008592,0.33333333,0.4
18,0.3048433,0.465625,0.46095718,0.2962963,0.55555556,1.0,0.00136429,0.11538462,0.58469945
19,1.0,0.0,0.88235294,1.0,0.0,0.0,0.0015021,1.0,0.06666667
20,0.44166667,0.5058548,0.00934579,0.0,0.375,1.0,1.255e-05,0.2,53.0
21,0.31868132,0.5840708,0.50847458,0.28571429,0.21428571,1.0,0.00086041,0.07692308,0.48333333
22,0.425,0.53541076,0.32450331,0.125,0.5,1.0,0.00061508,0.2,1.04081633
23,0.34545455,0.44776119,0.32142857,0.18181818,0.27272727,0.90909091,0.00032832,0.1,1.05555556
24,1.0,1.0,0.86363636,1.0,0.0,1.0,0.00253739,1.0,0.07894737
25,0.33333333,0.0,0.65853659,0.85714286,0.0,0.0,0.00077328,0.16666667,0.25925926
26,0.47619048,0.46153846,0.57446809,0.42857143,0.14285714,1.0,0.00077328,0.33333333,0.37037037
27,0.38333333,0.49811321,0.22689076,0.125,0.4375,1.0,0.00033892,0.2,1.7037037
28,0.8,0.78947368,0.76470588,1.0,0.0,1.0,0.00208417,0.5,0.15384615
29,0.3625731,0.50473934,0.24848485,0.05263158,0.52631579,1.0,0.00043366,0.16666667,1.51219512
30,0.41025641,0.50909091,0.43362832,0.30769231,0.30769231,0.84615385,0.00075657,0.16666667,0.65306122
31,0.47619048,0.75,0.74683544,1.0,0.0,1.0,0.00168977,0.16666667,0.16949153
32,0.46666667,0.57320099,0.0,0.0,0.5,1.0,0.0,0.2,56.0
33,0.51111111,0.62857143,0.35211268,0.3,0.3,1.0,0.0005015,0.22222222,0.92
34,1.0,1.0,0.7,1.0,0.0,1.0,0.00093483,1.0,0.21428571
35,0.3974359,0.6328125,0.36082474,0.07692308,0.23076923,1.0,0.00054041,0.25,0.88571429
36,0.475,0.61238532,0.51282051,0.4375,0.4375,0.9375,0.00150633,0.2,0.475
37,0.4,0.5,0.63265306,0.7,0.1,0.9,0.00124373,0.22222222,0.29032258
38,1.0,1.0,0.33333333,0.0,0.0,1.0,0.00030054,1.0,1.0
39,0.41911765,0.48920863,0.05,0.0,0.47058824,1.0,7.09e-05,0.1875,9.5
40,0.5,0.69863014,0.5443038,0.66666667,0.22222222,0.77777778,0.00095824,0.125,0.41860465
41,0.48571429,0.6358209,0.19685039,0.0,0.6,1.0,0.00033467,0.28571429,2.04
42,0.475,0.54545455,0.07317073,0.0,0.5625,1.0,0.00011297,0.26666667,6.33333333
43,1.0,0.0,0.75,1.0,0.0,0.0,0.00060084,1.0,0.16666667
44,0.46323529,0.59493671,0.03816794,0.0,0.64705882,1.0,5.908e-05,0.25,12.6
45,0.4952381,0.57723577,0.04587156,0.0,0.53333333,1.0,6.693e-05,0.28571429,10.4
46,0.54545455,0.60775862,0.47058824,0.33333333,0.41666667,1.0,0.00107031,0.18181818,0.5625
47,0.5047619,0.56756757,0.152,0.0,0.46666667,1.0,0.00025435,0.21428571,2.78947368
48,0.49090909,0.57142857,0.50909091,0.45454545,0.45454545,1.0,0.00102145,0.3,0.48214286
49,0.50549451,0.56304985,0.03157895,0.0,0.35714286,1.0,4.302e-05,0.30769231,15.33333333
50,0.67857143,0.73076923,0.43283582,0.125,0.25,1.0,0.00072689,0.42857143,0.65517241
51,0.46666667,0.56300268,0.0,0.0,0.6875,1.0,0.0,0.33333333,56.0
52,0.29824561,0.39501779,0.15,0.0,0.42105263,0.94736842,0.00019039,0.11111111,2.83333333
53,0.86666667,0.86666667,0.49019608,0.33333333,0.0,1.0,0.00083517,0.6,0.52
54,0.33333333,0.0,0.33333333,0.0,0.0,0.0,0.00016703,0.2,1.0
55,0.41176471,0.58333333,0.24324324,0.0,0.52941176,1.0,0.0004254,0.25,1.55555556
56,0.57142857,0.61016949,0.08571429,0.0,0.25,1.0,7.52e-05,0.28571429,5.33333333
57,1.0,1.0,0.84210526,1.0,0.0,1.0,0.00213675,1.0,0.09375
58,0.48351648,0.5631769,0.05376344,0.0,0.35714286,1.0,7.17e-05,0.23076923,8.8
59,0.58333333,0.53571429,0.42465753,0.22222222,0.33333333,1.0,0.00069082,0.25,0.67741935
60,0.58333333,0.65217391,0.66929134,0.66666667,0.22222222,1.0,0.00189419,0.375,0.24705882
61,0.59090909,0.6812749,0.09302326,0.0,0.58333333,1.0,0.00013379,0.18181818,4.875
62,0.41904762,0.59243697,0.04347826,0.0,0.53333333,1.0,5.355e-05,0.21428571,11.0
63,0.35947712,0.52058824,0.10569106,0.0,0.55555556,1.0,0.00014511,0.17647059,4.23076923
64,0.49450549,0.43772242,0.0,0.0,0.57142857,1.0,0.0,0.23076923,45.0
65,0.52564103,0.65217391,0.13684211,0.0,0.69230769,0.92307692,0.00020072,0.08333333,3.15384615
66,0.6,0.54545455,0.67567568,0.8,0.0,0.8,0.001002,0.25,0.24
67,0.59090909,0.64864865,0.11363636,0.0,0.5,1.0,0.00016724,0.36363636,3.9
68,0.49450549,0.62453532,0.05263158,0.0,0.64285714,1.0,7.17e-05,0.30769231,9.0
