CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.16809117,0.24107143,0.0,0.0,0.14814815,0.88888889,0.0,0.03846154,59.0
2,0.29473684,0.41726619,0.26315789,0.1,0.35,0.95,0.00080645,0.05263158,1.4
3,0.16,0.26162791,0.11111111,0.0,0.19230769,0.69230769,0.0002021,0.04,4.0
4,0.24242424,0.37937743,0.0,0.0,0.38235294,1.0,0.0,0.09090909,136.0
5,0.24338624,0.39669421,0.0,0.0,0.35714286,0.96428571,0.0,0.03703704,92.0
6,0.36190476,0.49763033,0.36134454,0.2,0.33333333,0.86666667,0.00115359,0.07142857,0.88372093
7,0.27272727,0.42211055,0.0,0.0,0.26086957,0.95652174,0.0,0.04545455,69.0
8,0.27248677,0.41529526,0.0,0.0,0.39285714,1.0,0.0,0.11111111,103.0
9,0.27339901,0.3801214,0.0,0.0,0.31034483,1.0,0.0,0.10714286,111.0
10,0.67857143,0.74025974,0.41538462,0.25,0.25,1.0,0.00135433,0.42857143,0.7037037
11,0.25189394,0.39157036,0.0,0.0,0.3030303,1.0,0.0,0.0625,133.0
12,0.24242424,0.36314572,0.0,0.0,0.39393939,1.0,0.0,0.09375,128.0
13,0.37777778,0.52631579,0.4137931,0.2,0.1,0.9,0.00096386,0.11111111,0.70833333
14,0.35714286,0.42032967,0.0,0.0,0.28571429,1.0,0.0,0.15,75.0
15,0.23655914,0.3950495,0.0,0.0,0.48387097,0.90322581,0.0,0.03333333,110.0
16,0.15666667,0.20647773,0.15315315,0.0,0.16,0.72,0.00027475,0.04166667,2.76470588
17,0.2987013,0.38341969,0.0,0.0,0.40909091,0.90909091,0.0,0.14285714,69.0
18,0.26780627,0.37544274,0.0,0.0,0.37037037,0.96296296,0.0,0.03846154,94.0
19,0.30072464,0.46261682,0.16582915,0.0,0.45833333,1.0,0.00055533,0.08695652,2.51515152
20,0.33201581,0.40441989,0.0,0.0,0.26086957,1.0,0.0,0.18181818,84.0
21,0.37894737,0.46223565,0.0,0.0,0.35,1.0,0.0,0.15789474,72.0
22,0.21904762,0.42818912,0.0,0.0,0.63888889,1.0,0.0,0.11428571,138.0
23,0.22529644,0.42724458,0.06557377,0.0,0.26086957,0.91304348,0.00014042,0.04545455,7.125
24,0.5,0.62025316,0.32173913,0.0,0.38461538,1.0,0.00114441,0.25,1.05405405
25,0.39705882,0.49541284,0.0,0.0,0.35294118,0.94117647,0.0,0.0625,54.0
26,0.46666667,0.52941176,0.60747664,0.8,0.2,1.0,0.00261044,0.22222222,0.32307692
27,0.66666667,0.6,0.80487805,1.0,0.0,0.75,0.00330529,0.33333333,0.12121212
28,0.36842105,0.49263158,0.0,0.0,0.47368421,1.0,0.0,0.11111111,63.0
29,0.4379085,0.55307263,0.0,0.0,0.5,1.0,0.0,0.23529412,67.0
30,0.38970588,0.50886076,0.0,0.0,0.47058824,1.0,0.0,0.125,53.0
31,0.32142857,0.28571429,0.60869565,0.875,0.125,0.625,0.00140449,0.14285714,0.32142857
32,0.425,0.52242744,0.0,0.0,0.375,1.0,0.0,0.13333333,51.0
33,0.30666667,0.35732984,0.0,0.0,0.56,1.0,0.0,0.125,92.0
34,0.27777778,0.15789474,0.52380952,0.44444444,0.0,0.33333333,0.00098131,0.125,0.45454545
35,0.36190476,0.54139073,0.0,0.0,0.61904762,1.0,0.0,0.1,76.0
36,0.42690058,0.53506098,0.0,0.0,0.47368421,1.0,0.0,0.16666667,73.0
37,0.36842105,0.45859873,0.0,0.0,0.42105263,0.94736842,0.0,0.11111111,63.0
38,0.35,0.359447,0.07692308,0.0,0.3125,0.9375,0.00017613,0.13333333,6.0
39,0.5,0.58787879,0.0,0.0,0.4375,1.0,0.0,0.2,60.0
40,0.46666667,0.5331565,0.0,0.0,0.33333333,1.0,0.0,0.21428571,49.0
41,0.46666667,0.57320099,0.0,0.0,0.5,1.0,0.0,0.2,56.0
42,0.38562092,0.51145038,0.0,0.0,0.5,1.0,0.0,0.23529412,59.0
43,0.30434783,0.57276995,0.0,0.0,0.41666667,1.0,0.0,0.13043478,84.0
44,0.47794118,0.56521739,0.0,0.0,0.47058824,1.0,0.0,0.25,65.0
45,0.51648352,0.55397727,0.0,0.0,0.35714286,1.0,0.0,0.30769231,47.0
46,0.53571429,0.57446809,0.5,0.375,0.125,1.0,0.00150482,0.28571429,0.5
47,0.39393939,0.54310345,0.38823529,0.25,0.33333333,0.83333333,0.00110531,0.18181818,0.78787879
48,0.28571429,0.0,0.72727273,0.85714286,0.14285714,0.0,0.00183371,0.16666667,0.1875
49,0.5,0.42857143,0.6969697,1.0,0.0,0.6,0.00184369,0.25,0.2173913
50,0.6,0.6,0.7,1.0,0.0,0.8,0.00224449,0.25,0.21428571
51,0.28571429,0.38793103,0.07692308,0.0,0.38095238,1.0,0.00019209,0.1,6.0
52,0.48484848,0.59638554,0.0,0.0,0.41666667,0.91666667,0.0,0.09090909,32.0
53,0.44444444,0.58082707,0.0,0.0,0.61111111,1.0,0.0,0.23529412,68.0
54,0.39705882,0.49723757,0.0,0.0,0.52941176,0.94117647,0.0,0.0625,54.0
55,0.46666667,0.56300268,0.0,0.0,0.6875,1.0,0.0,0.33333333,56.0
56,0.475,0.55980861,0.0,0.0,0.5625,1.0,0.0,0.26666667,57.0
57,0.4,0.0,0.73333333,1.0,0.0,0.0,0.00176353,0.25,0.18181818
58,0.57777778,0.73880597,0.0,0.0,0.5,1.0,0.0,0.22222222,26.0
59,0.58333333,0.65934066,0.0,0.0,0.22222222,0.88888889,0.0,0.125,21.0
60,0.47619048,0.62068966,0.0,0.0,0.6,1.0,0.0,0.28571429,50.0
61,0.57142857,0.6,0.0,0.0,0.25,1.0,0.0,0.28571429,16.0
62,0.57142857,0.64390244,0.0,0.0,0.5,1.0,0.0,0.30769231,52.0
63,0.57142857,0.64705882,0.0,0.0,0.5,1.0,0.0,0.30769231,52.0
64,0.57777778,0.64615385,0.0,0.0,0.4,1.0,0.0,0.22222222,26.0
65,0.57777778,0.62903226,0.0,0.0,0.4,1.0,0.0,0.33333333,26.0
66,0.33918129,0.51381215,0.07936508,0.0,0.52631579,1.0,0.00021214,0.16666667,5.8
67,0.53846154,0.57925072,0.0,0.0,0.5,1.0,0.0,0.23076923,49.0
68,0.49450549,0.43772242,0.0,0.0,0.57142857,1.0,0.0,0.23076923,45.0
69,0.58974359,0.65830721,0.0,0.0,0.69230769,1.0,0.0,0.33333333,46.0
70,1.0,1.0,0.54545455,0.6,0.0,1.0,0.00192385,1.0,0.41666667
71,0.60606061,0.68871595,0.0,0.0,0.66666667,1.0,0.0,0.18181818,40.0
72,0.55238095,0.64383562,0.0,0.0,0.8,1.0,0.0,0.35714286,58.0
73,0.54545455,0.6,0.0,0.0,0.45454545,1.0,0.0,0.2,30.0
74,0.46969697,0.61184211,0.16216216,0.0,0.41666667,1.0,0.00040193,0.27272727,2.58333333
75,0.60714286,0.64615385,0.0,0.0,0.25,1.0,0.0,0.28571429,17.0
76,0.6043956,0.67205543,0.0,0.0,0.64285714,1.0,0.0,0.38461538,55.0
77,0.51648352,0.62616822,0.0,0.0,0.5,1.0,0.0,0.23076923,47.0
78,0.18300654,0.37974684,0.52941176,0.44444444,0.16666667,0.94444444,0.00141015,0.05882353,0.44444444
79,0.54545455,0.67741935,0.0,0.0,0.5,0.91666667,0.0,0.09090909,36.0
80,0.44444444,0.63829787,0.0,0.0,0.11111111,1.0,0.0,0.25,16.0
81,0.61818182,0.68571429,0.0,0.0,0.54545455,1.0,0.0,0.3,34.0
82,0.62121212,0.68327402,0.0,0.0,0.5,1.0,0.0,0.27272727,41.0
83,0.31578947,0.45821326,0.0,0.0,0.5,0.95,0.0,0.05263158,60.0
84,0.61818182,0.63076923,0.0,0.0,0.45454545,1.0,0.0,0.4,34.0
85,0.51111111,0.46601942,0.14814815,0.0,0.3,1.0,0.00032129,0.22222222,2.875
86,0.33333333,0.4137931,0.37142857,0.33333333,0.16666667,0.83333333,0.00087085,0.09090909,0.84615385
87,0.51111111,0.64485981,0.36986301,0.2,0.4,0.9,0.00108434,0.11111111,0.85185185
88,1.0,1.0,0.70731707,1.0,0.0,1.0,0.00290465,1.0,0.20689655
89,0.63636364,0.67431193,0.0,0.0,0.54545455,1.0,0.0,0.4,35.0
90,0.63636364,0.68835616,0.0,0.0,0.58333333,1.0,0.0,0.36363636,42.0
91,0.63888889,0.63888889,0.0,0.0,0.33333333,1.0,0.0,0.375,23.0
92,0.50833333,0.58974359,0.0,0.0,0.625,1.0,0.0,0.26666667,61.0
93,0.30769231,0.63636364,0.11111111,0.0,0.14285714,0.92857143,0.00020113,0.07692308,4.0
94,0.63888889,0.64705882,0.0,0.0,0.33333333,1.0,0.0,0.5,23.0
95,0.5,0.0,0.75,1.0,0.0,0.0,0.00180288,0.33333333,0.16666667
96,0.50909091,0.60902256,0.0,0.0,0.27272727,0.90909091,0.0,0.1,28.0
97,0.65151515,0.65753425,0.0,0.0,0.58333333,1.0,0.0,0.45454545,43.0
98,0.66666667,0.66071429,0.0,0.0,0.7,1.0,0.0,0.22222222,30.0
99,0.66666667,0.71900826,0.0,0.0,0.44444444,1.0,0.0,0.375,24.0
100,0.66666667,0.64285714,0.0,0.0,0.0,1.0,0.0,0.4,10.0
101,0.66666667,0.66666667,0.0,0.0,0.0,1.0,0.0,0.4,10.0
102,0.66666667,0.69230769,0.0,0.0,0.0,1.0,0.0,0.4,10.0
103,0.66666667,0.57692308,0.0,0.0,0.0,1.0,0.0,0.4,10.0
104,0.66666667,0.57692308,0.0,0.0,0.0,1.0,0.0,0.4,10.0
105,0.66666667,0.62068966,0.0,0.0,0.44444444,1.0,0.0,0.375,24.0
106,0.66666667,0.62068966,0.0,0.0,0.44444444,1.0,0.0,0.375,24.0
107,0.60606061,0.67588933,0.0,0.0,0.75,1.0,0.0,0.27272727,40.0
108,0.51111111,0.63333333,0.0,0.0,0.2,1.0,0.0,0.33333333,23.0
109,0.66666667,0.66666667,0.0,0.0,0.14285714,1.0,0.0,0.5,14.0
110,0.6,0.65957447,0.0,0.0,0.5,1.0,0.0,0.33333333,27.0
111,0.85714286,0.88461538,0.32075472,0.0,0.42857143,1.0,0.00097416,0.5,1.05882353
112,0.68181818,0.70588235,0.0,0.0,0.5,1.0,0.0,0.45454545,45.0
113,0.62121212,0.66666667,0.0,0.0,0.58333333,1.0,0.0,0.36363636,41.0
114,0.67857143,0.75949367,0.05,0.0,0.25,1.0,0.00010032,0.28571429,9.5
115,0.62820513,0.70786517,0.0,0.0,0.76923077,1.0,0.0,0.33333333,49.0
116,0.61818182,0.6969697,0.0,0.0,0.63636364,1.0,0.0,0.3,34.0
117,0.66666667,0.6,0.48717949,0.33333333,0.0,1.0,0.00126971,0.4,0.52631579
118,0.73333333,0.75,0.43589744,0.16666667,0.0,1.0,0.00113606,0.4,0.64705882
119,0.45454545,0.66666667,0.0,0.0,0.27272727,0.81818182,0.0,0.1,25.0
120,0.61818182,0.69587629,0.0,0.0,0.45454545,1.0,0.0,0.4,34.0
121,0.7,0.64285714,0.26315789,0.0,0.0,1.0,0.0004008,0.5,1.4
