CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.1884058,0.37012987,0.0,0.0,0.16666667,0.875,0.0,0.04347826,52.0
2,1.0,1.0,0.61290323,0.25,0.0,1.0,0.00095133,1.0,0.31578947
3,0.33333333,0.32432432,0.11111111,0.0,0.11111111,0.88888889,6.683e-05,0.125,4.0
4,0.24901186,0.64736842,0.14285714,0.08695652,0.43478261,0.95652174,0.00018356,0.04545455,3.0
5,0.12315271,0.36945813,0.0,0.0,0.10344828,0.93103448,0.0,0.03571429,50.0
6,1.0,1.0,0.31034483,0.2,0.0,1.0,0.00036058,1.0,1.11111111
7,0.35164835,0.625,0.0,0.0,0.5,0.78571429,0.0,0.07692308,32.0
8,0.64835165,0.8677686,0.09923664,0.0,0.71428571,1.0,0.00018635,0.38461538,4.53846154
9,0.69444444,0.84090909,0.26470588,0.33333333,0.77777778,1.0,0.00040096,0.25,1.38888889
10,0.28571429,0.48131868,0.0,0.0,0.45454545,1.0,0.0,0.0952381,66.0
11,0.41758242,0.81683168,0.23232323,0.14285714,0.5,0.85714286,0.00032969,0.07692308,1.65217391
12,0.59090909,0.79761905,0.13333333,0.08333333,0.66666667,1.0,0.0002006,0.18181818,3.25
13,0.29487179,0.47191011,0.0,0.0,0.15384615,1.0,0.0,0.16666667,23.0
14,0.37777778,0.5,0.0,0.0,0.1,1.0,0.0,0.22222222,17.0
15,0.42222222,0.65217391,0.17391304,0.0,0.2,0.8,0.00016042,0.11111111,2.375
16,0.66666667,0.78947368,0.29411765,0.11111111,0.22222222,1.0,0.00044551,0.5,1.2
17,0.4,0.60674157,0.0,0.0,0.09090909,1.0,0.0,0.2,22.0
18,0.32967033,0.54135338,0.0,0.0,0.07142857,1.0,0.0,0.15384615,30.0
19,0.26900585,0.4057377,0.0,0.0,0.26315789,1.0,0.0,0.11111111,46.0
20,1.0,1.0,0.09677419,0.0,1.0,1.0,0.00015033,1.0,4.66666667
21,0.34615385,0.67826087,0.0,0.0,0.07692308,1.0,0.0,0.16666667,27.0
22,1.0,0.0,0.875,1.0,0.0,0.0,0.0014014,1.0,0.07142857
23,0.38181818,0.56470588,0.0,0.0,0.18181818,0.90909091,0.0,0.1,21.0
24,0.86666667,0.86666667,0.44680851,0.16666667,0.0,1.0,0.00070126,0.6,0.61904762
25,0.42857143,0.42857143,0.0,0.0,0.14285714,1.0,0.0,0.33333333,9.0
26,0.44761905,0.77288136,0.0,0.0,0.6,1.0,0.0,0.28571429,47.0
27,0.47272727,0.6870229,0.0,0.0,0.36363636,0.90909091,0.0,0.1,26.0
28,0.44444444,0.56603774,0.0,0.0,0.11111111,1.0,0.0,0.25,16.0
29,0.61904762,0.80487805,0.45833333,0.28571429,0.0,0.85714286,0.00062983,0.16666667,0.59090909
30,1.0,0.0,0.85714286,1.0,0.0,0.0,0.0012012,1.0,0.08333333
31,0.78571429,0.94594595,0.16981132,0.0,0.875,0.875,0.0002255,0.14285714,2.44444444
32,0.51111111,0.74311927,0.0,0.0,0.4,0.9,0.0,0.11111111,23.0
33,0.47712418,0.73377704,0.0,0.0,0.83333333,1.0,0.0,0.23529412,73.0
34,0.33333333,0.51785714,0.0,0.0,0.33333333,1.0,0.0,0.14285714,35.0
35,0.52727273,0.84507042,0.25641026,0.09090909,0.63636364,1.0,0.00036466,0.2,1.45
36,1.0,1.0,0.31034483,0.0,0.0,1.0,0.00036058,1.0,1.11111111
37,0.48888889,0.6741573,0.0,0.0,0.1,1.0,0.0,0.33333333,22.0
38,1.0,1.0,0.125,0.0,1.0,1.0,0.00017177,1.0,3.5
39,0.5,0.46153846,0.0,0.0,0.25,1.0,0.0,0.28571429,14.0
40,0.5,0.69230769,0.0,0.0,0.11111111,1.0,0.0,0.25,18.0
41,0.51111111,0.71428571,0.0212766,0.0,0.2,1.0,2.005e-05,0.22222222,23.0
42,0.5,0.62790698,0.0,0.0,0.125,1.0,0.0,0.28571429,14.0
43,0.50909091,0.68571429,0.0,0.0,0.27272727,1.0,0.0,0.2,28.0
44,0.89473684,0.92057762,0.02578797,0.0,1.0,1.0,9.042e-05,0.73684211,18.88888889
45,0.48484848,0.74566474,0.0,0.0,0.58333333,1.0,0.0,0.18181818,32.0
46,0.52380952,0.6,0.0,0.0,0.14285714,1.0,0.0,0.33333333,11.0
47,0.52380952,0.6,0.0,0.0,0.14285714,1.0,0.0,0.33333333,11.0
48,0.9047619,0.90697674,0.65454545,0.85714286,0.57142857,1.0,0.00206127,0.66666667,0.26388889
49,0.53030303,0.62790698,0.0,0.0,0.33333333,1.0,0.0,0.18181818,35.0
50,0.38888889,0.63157895,0.53333333,0.33333333,0.0,0.66666667,0.00071282,0.125,0.4375
51,0.52777778,0.65753425,0.0,0.0,0.11111111,1.0,0.0,0.25,19.0
52,1.0,1.0,0.21052632,0.0,0.0,1.0,0.00026715,1.0,1.875
53,0.52380952,0.72413793,0.62711864,0.57142857,0.0,0.71428571,0.00105926,0.16666667,0.2972973
54,0.42424242,0.86046512,0.3,0.33333333,0.58333333,0.91666667,0.0004012,0.09090909,1.16666667
55,0.53333333,0.52941176,0.0,0.0,0.0,1.0,0.0,0.4,8.0
56,0.53333333,0.52941176,0.0,0.0,0.0,1.0,0.0,0.4,8.0
57,0.50909091,0.76510067,0.43434343,0.27272727,0.63636364,0.90909091,0.00078401,0.1,0.65116279
58,1.0,1.0,0.26315789,0.0,1.0,1.0,0.0005011,1.0,1.4
59,1.0,1.0,0.53488372,0.2,0.0,1.0,0.00092147,1.0,0.43478261
60,0.54545455,0.65454545,0.0,0.0,0.27272727,1.0,0.0,0.3,30.0
61,0.28888889,0.42857143,0.0,0.0,0.0,0.8,0.0,0.11111111,13.0
62,0.41666667,0.825,0.16666667,0.11111111,0.0,0.88888889,0.00013365,0.125,2.5
63,0.58181818,0.95,0.22891566,0.27272727,0.72727273,1.0,0.00034642,0.1,1.68421053
64,0.76190476,0.92307692,0.15789474,0.14285714,0.14285714,0.85714286,0.00017177,0.16666667,2.66666667
65,0.42424242,0.75,0.0,0.0,0.16666667,0.83333333,0.0,0.09090909,28.0
66,0.36363636,0.67058824,0.0,0.0,0.16666667,1.0,0.0,0.18181818,24.0
67,0.93333333,0.92307692,0.09677419,0.0,0.0,1.0,0.00010018,0.8,4.66666667
68,1.0,1.0,0.11764706,0.0,0.0,1.0,0.00013357,1.0,3.75
69,0.57142857,0.72413793,0.0,0.0,0.125,1.0,0.0,0.28571429,16.0
70,1.0,1.0,0.4,0.25,0.0,1.0,0.00040056,1.0,0.75
71,1.0,1.0,0.16666667,0.0,0.0,1.0,0.00016026,1.0,2.5
72,1.0,1.0,0.08695652,0.0,1.0,1.0,0.00011451,1.0,5.25
73,0.85714286,0.88461538,0.66972477,1.0,0.42857143,1.0,0.00208989,0.5,0.24657534
74,0.66666667,0.864,0.18644068,0.11111111,0.77777778,0.88888889,0.00024503,0.125,2.18181818
75,1.0,1.0,0.06666667,0.0,1.0,1.0,0.00010022,1.0,7.0
76,1.0,1.0,0.05084746,0.0,1.0,1.0,7.517e-05,1.0,9.33333333
77,0.76923077,0.93370166,0.0625,0.0,0.84615385,1.0,0.00012347,0.25,7.5
