CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.03929431,0.05235602,0.32413793,0.04597701,0.51724138,0.51724138,0.00032988,0.01162791,1.04255319
2,0.5,0.0,0.76744186,0.2,0.8,0.0,0.00132132,0.25,0.15151515
3,0.6,0.54545455,0.74468085,0.4,0.8,0.8,0.0014014,0.25,0.17142857
4,0.16666667,0.04411765,0.03703704,0.0,0.23076923,0.23076923,1.542e-05,0.08333333,13.0
5,1.0,0.0,0.84615385,0.5,0.0,0.0,0.00110044,1.0,0.09090909
6,1.0,0.0,1.0,1.0,0.0,0.0,0.0020004,1.0,0.0
7,1.0,0.0,0.81818182,0.5,0.0,0.0,0.00090036,1.0,0.11111111
8,0.21818182,0.12,0.04,0.0,0.36363636,0.36363636,1.822e-05,0.1,12.0
9,0.22222222,0.07894737,0.0,0.0,0.3,0.3,0.0,0.11111111,10.0
10,0.13333333,0.0,0.09677419,0.0,0.2,0.0,4.012e-05,0.07142857,4.66666667
11,0.24444444,0.14634146,0.0,0.0,0.4,0.4,0.0,0.11111111,11.0
12,0.38095238,0.31578947,0.66666667,0.71428571,0.71428571,0.71428571,0.00091557,0.16666667,0.25
13,0.25454545,0.21428571,0.06666667,0.0,0.54545455,0.54545455,3.644e-05,0.1,7.0
14,0.4,0.375,0.61290323,0.66666667,0.66666667,0.5,0.00063409,0.2,0.31578947
15,1.0,0.0,0.77777778,0.5,0.0,0.0,0.00070028,1.0,0.14285714
16,0.22222222,0.0,0.11111111,0.0,0.22222222,0.0,4.452e-05,0.125,4.0
17,0.66666667,0.0,0.75,0.66666667,0.33333333,0.0,0.00080048,0.5,0.16666667
18,0.28571429,0.0,0.0,0.0,0.14285714,0.0,0.0,0.16666667,6.0
19,0.28571429,0.0,0.0,0.0,0.14285714,0.0,0.0,0.16666667,6.0
20,0.28571429,0.13043478,0.11111111,0.0,0.375,0.375,5.008e-05,0.14285714,4.0
21,1.0,0.0,1.0,1.0,0.0,0.0,0.00160032,1.0,0.0
22,0.23076923,0.24193548,0.14285714,0.0,0.61538462,0.53846154,9.255e-05,0.08333333,3.0
23,0.32142857,0.23076923,0.0,0.0,0.5,0.5,0.0,0.14285714,9.0
24,0.34615385,0.50704225,0.01818182,0.0,0.84615385,0.84615385,1.542e-05,0.08333333,27.0
25,0.33333333,0.17647059,0.125,0.0,0.42857143,0.42857143,5.722e-05,0.16666667,3.5
26,0.33333333,0.17647059,0.0,0.0,0.42857143,0.42857143,0.0,0.16666667,7.0
27,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
28,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
29,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
30,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
31,0.33333333,0.0,0.09090909,0.0,0.16666667,0.0,3.337e-05,0.2,5.0
32,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
33,0.5,0.375,0.47368421,0.2,0.6,0.6,0.00036036,0.25,0.55555556
34,0.28571429,0.0,0.0,0.0,0.28571429,0.0,0.0,0.16666667,6.0
35,0.21637427,0.40540541,0.01333333,0.0,0.89473684,0.89473684,1.057e-05,0.05555556,37.0
36,0.28571429,0.21428571,0.2,0.0,0.625,0.375,0.00010016,0.14285714,2.0
37,0.5,0.0,0.68421053,0.5,0.5,0.0,0.00065052,0.33333333,0.23076923
38,1.0,0.0,0.81818182,1.0,0.0,0.0,0.00090036,1.0,0.11111111
39,0.4,0.25,0.0,0.0,0.5,0.5,0.0,0.2,6.0
40,0.4,0.25,0.0,0.0,0.5,0.5,0.0,0.2,6.0
41,0.4,0.0,0.11111111,0.0,0.2,0.0,4.004e-05,0.25,4.0
42,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
43,0.5,0.0,0.14285714,0.0,0.25,0.0,5.004e-05,0.33333333,3.0
44,0.66666667,0.0,0.42857143,0.0,0.33333333,0.0,0.00020012,0.5,0.66666667
45,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
46,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
47,0.4,0.0,0.11111111,0.0,0.2,0.0,4.004e-05,0.25,4.0
48,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
49,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
50,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
51,0.4,0.0,0.11111111,0.0,0.2,0.0,4.004e-05,0.25,4.0
52,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
53,1.0,0.0,1.0,1.0,0.0,0.0,0.00320064,1.0,0.0
54,0.33333333,0.23076923,0.0,0.0,0.57142857,0.42857143,0.0,0.16666667,7.0
55,0.33333333,0.0,0.0,0.0,0.33333333,0.0,0.0,0.2,5.0
56,0.42857143,0.39130435,0.0,0.0,0.71428571,0.71428571,0.0,0.16666667,9.0
57,1.0,0.0,1.0,1.0,0.0,0.0,0.00120024,1.0,0.0
58,0.28571429,0.0,0.14285714,0.0,0.28571429,0.0,5.722e-05,0.16666667,3.0
59,0.4,0.44776119,0.02702703,0.0,0.9,0.8,2.004e-05,0.11111111,18.0
60,0.5,0.0,0.25,0.0,0.25,0.0,0.00010008,0.33333333,1.5
61,0.4,0.0,0.75,1.0,0.4,0.0,0.00096096,0.25,0.16666667
62,0.46666667,0.4,0.0,0.0,0.66666667,0.66666667,0.0,0.2,7.0
63,0.46666667,0.4,0.0,0.0,0.66666667,0.66666667,0.0,0.2,7.0
64,1.0,0.0,1.0,1.0,0.0,0.0,0.00140028,1.0,0.0
